2018/11/14 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   PAFA, Arr:   PAJN, Flight Time: 01:01:12, Errors:   3, Landing: A,    71 ft/min,  1.16g,   0 bounce(s)
2018/11/14 Aircraft: ['A plane, with wings, it flies, sometim, Dep:   PAJN, Arr:   CYLW, Flight Time: 00:51:57, Errors:   1, Landing: D,   437 ft/min,  2.38g,   1 bounce(s)
2018/11/16 Aircraft: ['Dornier Do 228']                      , Dep:   MSLP, Arr:   MGGT, Flight Time: 00:10:30, Errors:   0, Landing: B,   221 ft/min,  1.28g,   0 bounce(s)
2018/11/18 Aircraft: ['AB 412']                              , Dep:  MT302, Arr:   32S2, Flight Time: 00:06:35, Errors:   3, Landing: B,    94 ft/min,  1.83g,   0 bounce(s)
2018/11/18 Aircraft: ['AB 412']                              , Dep:   MT69, Arr:   MT69, Flight Time: 00:00:27, Errors:   1, Landing: D,   102 ft/min,  3.6 g,   0 bounce(s)
2018/11/18 Aircraft: ['AB 412']                              , Dep:   MT69, Arr:   32S3, Flight Time: 00:05:12, Errors:   2, Landing: C,   145 ft/min,  2.10g,   0 bounce(s)
2018/11/18 Aircraft: ['AB 412']                              , Dep:   32S3, Arr:   S691, Flight Time: 00:05:02, Errors:   3, Landing: B,   148 ft/min,  1.41g,   0 bounce(s)
2018/11/20 Aircraft: ['Bombardier Challenger 300 XP11']      , Dep:   CYYR, Arr:   CYDF, Flight Time: 00:22:13, Errors:   9, Landing: B,   143 ft/min,  1.20g,   0 bounce(s)
2018/11/20 Aircraft: ['Bombardier Challenger 300 XP11']      , Dep:   CYMT, Arr:   KROC, Flight Time: 00:17:38, Errors:   3, Landing: A,    90 ft/min,  1.19g,   0 bounce(s)
2018/11/20 Aircraft: ['727 Series Pro V3 727-200Adv']        , Dep:   NV63, Arr:   CYLW, Flight Time: 01:06:13, Errors:   3, Landing: B,   198 ft/min,  1.62g,   2 bounce(s)
2018/11/24 Aircraft: ['727 Series Pro V3 727-200Adv']        , Dep:   CYXE, Arr:   CYVR, Flight Time: 01:11:13, Errors:   3, Landing: B,   135 ft/min,  1.42g,   1 bounce(s)
2018/12/ 4 Aircraft: ['AB 412']                              , Dep:   S691, Arr:   3U52, Flight Time: 00:08:39, Errors:   2, Landing: D,   235 ft/min,  3.37g,   2 bounce(s)
2018/12/ 4 Aircraft: ['AB 412']                              , Dep:   3U52, Arr:   8S02, Flight Time: 00:06:45, Errors:   3, Landing: B,   175 ft/min,  1.82g,   0 bounce(s)
2018/12/ 4 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   MGGT, Arr:   MM1N, Flight Time: 00:19:12, Errors:   2, Landing: B,   194 ft/min,  1.52g,   2 bounce(s)
2018/12/19 Aircraft: ['AB 412']                              , Dep:   S272, Arr:   8S02, Flight Time: 00:09:10, Errors:   5, Landing: B,   232 ft/min,  1.94g,   0 bounce(s)
2018/12/19 Aircraft: ['AB 412']                              , Dep:   8S02, Arr:   8U22, Flight Time: 00:08:04, Errors:   7, Landing: F,   511 ft/min,  4.23g,   1 bounce(s)
2018/12/19 Aircraft: ['AB 412']                              , Dep:   8U22, Arr:   8S01, Flight Time: 00:06:15, Errors:   5, Landing: F,   526 ft/min,  2.24g,   1 bounce(s)
2018/12/20 Aircraft: ['Bell 407']                            , Dep:   3U52, Arr:   S691, Flight Time: 00:06:39, Errors:   2, Landing: B,   166 ft/min,  1.18g,   0 bounce(s)
2018/12/20 Aircraft: ['Bell 407']                            , Dep:   S691, Arr:   32S2, Flight Time: 00:09:20, Errors:   0, Landing: B,   134 ft/min,  1.46g,   0 bounce(s)
2018/12/20 Aircraft: ['Bell 407']                            , Dep:   32S2, Arr:   MT69, Flight Time: 00:07:59, Errors:   1, Landing: A,    29 ft/min,  1.12g,   0 bounce(s)
2018/12/20 Aircraft: ['Bell 407']                            , Dep:   MT69, Arr:   32S3, Flight Time: 00:08:01, Errors:   0, Landing: B,   141 ft/min,  1.80g,   1 bounce(s)
